center_id,meal_id,category,cuisine,center_type,op_area,latest_week,checkout_price,base_price,emailer_for_promotion,homepage_featured,orders_lag_1,orders_lag_2,orders_roll_mean_4,category_code,cuisine_code,center_type_code,discount,discount_pct,meal_label
10,1062,Beverages,Italian,TYPE_B,6.3,145,191.09,191.09,0,0,945.0,1120.0,968.5,0,2,1,0.0,0.0,Meal 1062 — Beverages (Italian)
10,1109,Rice Bowl,Indian,TYPE_B,6.3,145,292.03,292.03,0,0,1905.0,1810.0,1712.5,8,1,1,0.0,0.0,Meal 1109 — Rice Bowl (Indian)
10,1198,Extras,Thai,TYPE_B,6.3,145,171.75,171.75,0,0,540.0,270.0,432.25,3,3,1,0.0,0.0,Meal 1198 — Extras (Thai)
10,1207,Beverages,Continental,TYPE_B,6.3,145,388.0,390.0,0,0,284.0,136.0,182.5,0,0,1,2.0,0.0051282051282051,Meal 1207 — Beverages (Continental)
10,1216,Pasta,Italian,TYPE_B,6.3,145,417.13,418.13,0,0,230.0,366.0,223.0,6,2,1,1.0,0.0023916006983474,Meal 1216 — Pasta (Italian)
10,1230,Beverages,Continental,TYPE_B,6.3,145,382.24,382.24,0,0,150.0,135.0,135.25,0,0,1,0.0,0.0,Meal 1230 — Beverages (Continental)
10,1247,Biryani,Indian,TYPE_B,6.3,145,447.23,445.23,0,0,28.0,14.0,20.75,1,1,1,-2.0,-0.004492060283449,Meal 1247 — Biryani (Indian)
10,1248,Beverages,Indian,TYPE_B,6.3,145,164.96,163.96,0,0,283.0,122.0,226.75,0,1,1,-1.0,-0.0060990485484264,Meal 1248 — Beverages (Indian)
10,1311,Extras,Thai,TYPE_B,6.3,145,192.09,193.09,0,0,500.0,582.0,530.75,3,3,1,1.0,0.0051789321042001,Meal 1311 — Extras (Thai)
10,1438,Soup,Thai,TYPE_B,6.3,145,194.0,194.0,0,0,53.0,148.0,97.5,12,3,1,0.0,0.0,Meal 1438 — Soup (Thai)
10,1445,Seafood,Continental,TYPE_B,6.3,145,728.53,728.53,0,0,310.0,432.0,205.75,11,0,1,0.0,0.0,Meal 1445 — Seafood (Continental)
10,1525,Other Snacks,Thai,TYPE_B,6.3,145,321.13,320.13,0,0,405.0,595.0,479.5,5,3,1,-1.0,-0.0031237309842876,Meal 1525 — Other Snacks (Thai)
10,1543,Desert,Indian,TYPE_B,6.3,145,485.03,485.03,0,0,243.0,325.0,243.25,2,1,1,0.0,0.0,Meal 1543 — Desert (Indian)
10,1558,Pizza,Continental,TYPE_B,6.3,145,564.6,564.6,0,0,134.0,163.0,438.5,7,0,1,0.0,0.0,Meal 1558 — Pizza (Continental)
10,1571,Fish,Continental,TYPE_B,6.3,145,639.23,640.23,0,0,203.0,406.0,266.5,4,0,1,1.0,0.0015619386782874,Meal 1571 — Fish (Continental)
10,1727,Rice Bowl,Indian,TYPE_B,6.3,145,464.63,466.63,0,0,905.0,958.0,918.0,8,1,1,2.0,0.0042860510468679,Meal 1727 — Rice Bowl (Indian)
10,1754,Sandwich,Italian,TYPE_B,6.3,145,320.16,318.16,0,0,1161.0,972.0,986.0,10,2,1,-2.0,-0.0062861453356801,Meal 1754 — Sandwich (Italian)
10,1770,Biryani,Indian,TYPE_B,6.3,145,484.03,486.03,0,0,42.0,68.0,48.5,1,1,1,2.0,0.0041149723268111,Meal 1770 — Biryani (Indian)
10,1778,Beverages,Italian,TYPE_B,6.3,145,191.12,192.12,0,0,1175.0,946.0,1016.5,0,2,1,1.0,0.0052050801582344,Meal 1778 — Beverages (Italian)
10,1803,Extras,Thai,TYPE_B,6.3,145,169.75,171.75,0,0,661.0,566.0,566.5,3,3,1,2.0,0.0116448326055312,Meal 1803 — Extras (Thai)
10,1847,Soup,Thai,TYPE_B,6.3,145,196.0,196.0,0,0,14.0,82.0,54.25,12,3,1,0.0,0.0,Meal 1847 — Soup (Thai)
10,1878,Starters,Thai,TYPE_B,6.3,145,321.13,319.13,0,0,28.0,122.0,78.5,13,3,1,-2.0,-0.0062670385109516,Meal 1878 — Starters (Thai)
10,1885,Beverages,Thai,TYPE_B,6.3,145,158.14,158.14,0,0,1904.0,1986.0,1975.0,0,3,1,0.0,0.0,Meal 1885 — Beverages (Thai)
10,1902,Biryani,Indian,TYPE_B,6.3,145,446.23,445.23,0,0,150.0,80.0,98.75,1,1,1,-1.0,-0.0022460301417245,Meal 1902 — Biryani (Indian)
10,1962,Pizza,Continental,TYPE_B,6.3,145,563.6,562.6,0,0,553.0,566.0,948.25,7,0,1,-1.0,-0.0017774617845716,Meal 1962 — Pizza (Continental)
10,1971,Sandwich,Italian,TYPE_B,6.3,145,344.35,346.35,0,0,459.0,190.0,273.25,10,2,1,2.0,0.0057745055579615,Meal 1971 — Sandwich (Italian)
10,1993,Beverages,Thai,TYPE_B,6.3,145,157.14,158.14,0,0,944.0,852.0,864.25,0,3,1,1.0,0.0063235108132034,Meal 1993 — Beverages (Thai)
10,2104,Fish,Continental,TYPE_B,6.3,145,640.23,639.23,0,0,189.0,203.0,196.0,4,0,1,-1.0,-0.0015643821472709,Meal 2104 — Fish (Continental)
10,2126,Pasta,Italian,TYPE_B,6.3,145,484.03,486.03,0,0,68.0,14.0,37.25,6,2,1,2.0,0.0041149723268111,Meal 2126 — Pasta (Italian)
10,2139,Beverages,Indian,TYPE_B,6.3,145,285.18,285.18,0,0,150.0,148.0,175.5,0,1,1,0.0,0.0,Meal 2139 — Beverages (Indian)
10,2290,Rice Bowl,Indian,TYPE_B,6.3,145,289.09,290.09,0,0,2051.0,2067.0,2187.75,8,1,1,1.0,0.0034472060395049,Meal 2290 — Rice Bowl (Indian)
10,2304,Desert,Indian,TYPE_B,6.3,145,486.03,486.03,0,0,202.0,188.0,137.75,2,1,1,0.0,0.0,Meal 2304 — Desert (Indian)
10,2306,Pasta,Italian,TYPE_B,6.3,145,238.65,335.62,1,0,148.0,54.0,111.25,6,2,1,96.97,0.288927954233955,Meal 2306 — Pasta (Italian)
10,2322,Beverages,Continental,TYPE_B,6.3,145,386.06,386.06,0,0,162.0,202.0,152.0,0,0,1,0.0,0.0,Meal 2322 — Beverages (Continental)
10,2444,Seafood,Continental,TYPE_B,6.3,145,727.53,728.53,0,0,406.0,554.0,253.75,11,0,1,1.0,0.001372627070951,Meal 2444 — Seafood (Continental)
10,2490,Salad,Italian,TYPE_B,6.3,145,275.54,274.54,0,0,607.0,339.0,374.75,9,2,1,-1.0,-0.0036424564726451,Meal 2490 — Salad (Italian)
10,2492,Desert,Indian,TYPE_B,6.3,145,389.03,388.03,0,0,150.0,258.0,247.25,2,1,1,-1.0,-0.002577120325748,Meal 2492 — Desert (Indian)
10,2494,Soup,Thai,TYPE_B,6.3,145,195.0,194.0,0,0,95.0,54.0,104.5,12,3,1,-1.0,-0.0051546391752577,Meal 2494 — Soup (Thai)
10,2539,Beverages,Thai,TYPE_B,6.3,145,159.11,158.11,0,0,296.0,566.0,465.5,0,3,1,-1.0,-0.006324710644488,Meal 2539 — Beverages (Thai)
10,2569,Salad,Italian,TYPE_B,6.3,145,242.56,327.89,0,0,837.0,445.0,607.75,9,2,1,85.32999999999998,0.2602397145384122,Meal 2569 — Salad (Italian)
10,2577,Starters,Thai,TYPE_B,6.3,145,321.13,319.13,0,0,134.0,175.0,208.75,13,3,1,-2.0,-0.0062670385109516,Meal 2577 — Starters (Thai)
10,2581,Pizza,Continental,TYPE_B,6.3,145,562.6,564.6,0,0,445.0,485.0,600.75,7,0,1,2.0,0.0035423308537017,Meal 2581 — Pizza (Continental)
10,2631,Beverages,Indian,TYPE_B,6.3,145,164.93,164.93,0,0,243.0,271.0,280.75,0,1,1,0.0,0.0,Meal 2631 — Beverages (Indian)
10,2640,Starters,Thai,TYPE_B,6.3,145,321.13,319.13,0,0,379.0,244.0,314.25,13,3,1,-2.0,-0.0062670385109516,Meal 2640 — Starters (Thai)
10,2664,Salad,Italian,TYPE_B,6.3,145,244.5,328.83,0,0,865.0,540.0,682.25,9,2,1,84.32999999999998,0.2564547030380439,Meal 2664 — Salad (Italian)
10,2704,Other Snacks,Thai,TYPE_B,6.3,145,319.13,321.13,0,0,271.0,404.0,375.0,5,3,1,2.0,0.0062280073490486,Meal 2704 — Other Snacks (Thai)
10,2707,Beverages,Italian,TYPE_B,6.3,145,239.65,239.65,0,0,1296.0,1134.0,1188.0,0,2,1,0.0,0.0,Meal 2707 — Beverages (Italian)
10,2760,Other Snacks,Thai,TYPE_B,6.3,145,162.99,242.53,0,0,1094.0,270.0,540.25,5,3,1,79.53999999999999,0.3279594276996659,Meal 2760 — Other Snacks (Thai)
10,2826,Sandwich,Italian,TYPE_B,6.3,145,377.33,377.33,0,0,688.0,852.0,799.75,10,2,1,0.0,0.0,Meal 2826 — Sandwich (Italian)
10,2867,Seafood,Continental,TYPE_B,6.3,145,648.02,727.53,0,0,325.0,323.0,178.75,11,0,1,79.50999999999999,0.1092875895152089,Meal 2867 — Seafood (Continental)
10,2956,Fish,Continental,TYPE_B,6.3,145,642.14,643.14,0,0,243.0,149.0,246.5,4,0,1,1.0,0.0015548714121342,Meal 2956 — Fish (Continental)
11,1062,Beverages,Italian,TYPE_A,3.7,145,179.51,177.51,0,0,797.0,635.0,716.0,0,2,0,-2.0,-0.0112669708748802,Meal 1062 — Beverages (Italian)
